PK_CLIENTES;customer;phone;region_name;division_name
8cb5897edf0e1d08e4d987d7ca63493193046ec1b2c6644dcb4104d316b9b93e;Tao Store;816-455-8733;Western;Domestic
562ba3c2cedf0ed542e4519973b3edae360695caccb7bc4c0c8668dcc892da30;Taroch Mexistore;816-455-8733;International;International
1db1c2c7307310fda3f050c9efd12213c01b868135deac49b9209b8a0879ee5c;Team Supermarket;816-455-8733;Western;Domestic
7c9243620013a838bd4e0d17361b60c0d31aee0e9bc70c3d93d2f458767f5ea9;Robust Store;816-455-8733;Western;Domestic
9870174738c3edeeb60987f3b094f928ce0d5b0f6dda569b796c1786eab33bcd;UniPress Shop;816-455-8733;Southern;Domestic
dd4d384ac2aaf643c313934fededf4e816b79186f81c7aa07f004ceff1994005;Safetynet Shop;816-455-8733;Southern;Domestic
869be22554de6719c96a62dc8a47b44d4eda599fb940e25d389b3fb7b4426b83;VA Supermarket;816-455-8733;Northeast;Domestic
dcaaf1c2c69cd84a768131c74032dc2981ddfa68d9f9359312f233839be8e8d0;Ace Market;816-455-8733;International;International
75ecffcf8a5ba129980a2ff1c652dbb9a69980468e7ea21c7fa26e6ddde3b42c;Absolute Supermarket;816-455-8733;International;International
8c3969d9dc6a8ed6afd78246415a85759a8f2818e623c36777d6467df33d048a;Panix Shop;816-455-8733;International;International
c67e73026ddbc77775a5b81e010be6b6b1a13f0d532589d010dc86ef0c59d66b;Pereras;816-455-8733;Central;Domestic
a0e2482569a8361899e7522e3f30f55cf86dd2e30dca6e2adfac3b116cdf2ae4;Talou Shop;816-455-8733;Western;Domestic
ab9541ce51721b7cb08b345d07fcaed0eaa95148843bd5376d3d2c8cec876375;Matradi Megastore;816-455-8733;Southern;Domestic
43c0147e96701de746bee2f9f1970a9b87b217813f3e4da53892803c5159c1d3;Xyratex Shop;816-455-8733;International;International
4192b104c513977c5562d520c49b8464759035b613986b76924ae114868b0535;EDS Shop;816-455-8733;Central;Domestic
1ec26dbf05b10c24e1110ec6315ca5d3f8c6b9c57d48983066fdb04983299773;Kimball Supermarket;816-455-8733;International;International
9c8f485fcd12ccedc8cc96df1e56a103bf2f9100fc6d6a841f594a77e279be7b;Vector USA;816-455-8733;Canada;International
0c61c7dd21678fab8a545218552e93137bbb4f50be268f912a5b70863ec5adfa;Pacific Supermarket;816-455-8733;Canada;International
fef82f23d0ddb9427931ddf96a55b2219b0458d7032e210bbbab0bebad7a86cf;Tredegar Market;816-455-8733;Western;Domestic
f7fe2e2702a96388fd421549c9290fe8300bffe53c57caf0dfbd00a59fb59bbc;Telesat Supermarket;816-455-8733;Northeast;Domestic
cecda2da56d05620bd480e8e08426bdc5125787015e8b1ff56413fdc4dab58f7;Maxtor Shop;816-455-8733;International;International
1946ff8a71833cf91356dc5a2247ff60c388636f1480f0bec34e215cc9d19366;U.S. Market;816-455-8733;Canada;International
c445d2237a1e29cda866f8c60957db43be075c35a5dccc976f6e5c555fbce288;Signatures Superstore;816-455-8733;Western;Domestic
43d32409e95396fae7c5a7b88743c78c7ccce929b4badd78f2858cae1bd9cf6d;SataMine Shop;816-455-8733;Northeast;Domestic
c6885d1f0f090fb488890f529c6cbedd32eea533ea15364179e660ee5969458a;Enterprises Shop;816-455-8733;International;International
f5497bb203e19b28eb95405cb7b9eba35d1e42e23e319dc7b6e2a862013c8535;Unimedya Shop;816-455-8733;Canada;International
f9646ad6315aae7996aa2014df34ebd128a388e1a31fb5df49ba87cc541ae82c;Script Supermarket;816-455-8733;Canada;International
f87baca14aada81300731c28699d136c5f910e82d04b3af52c4d2a57f886d325;Quantex Supermarket;816-455-8733;Western;Domestic
1b28338c3f840a1ab8548f2f7c26cf30aaba448ebb6b0c3df0488608cc7848bf;C.O.F. Shop;816-455-8733;International;International
41541aa22e60f540565cc853e68a31f1c9c50f722ff725298cdbaf90879a88ec;Gandalf Supermarket;816-455-8733;International;International
99c2e97114ada8fa3eed03e4ff4977273c00227071351ae57123503e98912557;A1 Store;816-455-8733;Canada;International
7da15a56749f172dda03f8d9a7769f7fb4d87319eb2fd84477fd5dd191ff3e04;Panngea Shop;816-455-8733;Western;Domestic
b83eaa69cdf6fbbc145cb9f5df2a0d7ab3b32f8623d3de9693f27e12d5812f4b;Stone Supermarket;816-455-8733;Western;Domestic
b77c3d29cb486c703dda453f86e28ec16930d54de57b52a18431604c14290f28;HarveyOpolis Shop;816-455-8733;International;International
4f60fa13704b6928e6ce6ea287db217acf019e4d751bbacc32e5e46631ca9761;Galaxy Supermarket;816-455-8733;International;International
84e91a53b623c6e690285103cda3da1d42b7da04cd40ad88cbb48046c9931c09;Pink Supermarket;816-455-8733;Southern;Domestic
f84b11fb3a55cd0e9f8d9b016d7fb4d6851a300124cae949c346ee674c03317a;One Market;816-455-8733;International;International
3d4bb70068b259e7aea860dbdbe4c4a340c9410ab353345227570f3f03c34ed4;Southern Supermarket;816-455-8733;Central;Domestic
c307598551da89dcba430380549ea945fde20da655b856de494ac3fa5ad554d9;Sigma Shop;816-455-8733;Central;Domestic
695c556e339f2b2b45463b22f3311e773e40e338f6489c3f64a55ee5e432903a;Capitolnet Supermarket;816-455-8733;Southern;Domestic
cf54b87f0a284bbf1ab02ba57a3111b66a94f401eac7f40d5c94893f22add1d3;CAPCON Shop;816-455-8733;Western;Domestic
c39a35f44ea243d9c95dab7b6ac20e7b3b2a0fcb77402a38ac9218452dced1b2;Bre-X Shop;816-455-8733;International;International
edfbcb5caf6851a1164dd8c7780c8ff015d498fb85dbd7eecbfb30c03ce495f2;PADL Shop;816-455-8733;International;International
4975e9895dc332b24a18bece6c2a32da8fcc92f9695ea8e21dad03c8a4d3329b;PING Shop;816-455-8733;Southern;Domestic
5950ded646e1786f540fa8bb8d9bd76fcda4a94bfdd748be8b1dfc00c008bde6;Tartanchase Shop;816-455-8733;International;International
670d624f3fe629510c9107392e0f559e30f5b27119919937b90371c02235c220;Emergent Shop;816-455-8733;International;International
10f2375fed7bc24dfa733a2a1cd260dc0efe5842a74c9c4294946cf5042127b3;Active Supermarket;816-455-8733;Central;Domestic
129679452495435dce8b1de23cce810682d6c96b1b6823b77a013902d8974039;ACS Shop;816-455-8733;Northeast;Domestic
707504d706af2418cda00656658fd19f1086e687ac0d52bbe7a79d6d13392fc5;A Supermarket;816-455-8733;International;International
b92315abb65d92a61257c7ca8ff53b980e4866ca518dc00f9c80fa5b33a32079;Keystroke Market;816-455-8733;International;International
7894df962cac6d8f3a9754bdb3a37af62bf72f69ef51a33284a3b9ce81ad4f61;Molson Store;816-455-8733;Southern;Domestic
5a3239a3551ac11a546993e0c11a9c6e215beeaf7af43abe68089c31868c0155;Valley Market;816-455-8733;Western;Domestic
952d08ae02ec41c3bd9286357837ae505974c3a3317690a9a7aa1fbdfc97b5df;Taskers Supermarket;816-455-8733;International;International
a488fbfb4c88731ae3d93c9e297f21026eaa87dd07a7f1ea2a1507c1d37629e2;Aadast Shop;816-455-8733;International;International
31498429ad6d14c3934d06782e3f64731c3f2f0079874c7f0e75d1c0943c2473;iLanguage Shop;816-455-8733;Central;Domestic
a3e74f0df8d1dbd0e00e1cf723a2549eb925cda4f939af574cdcb282c4764669;Finishing Shop;816-455-8733;Southern;Domestic
5136f01fe7c62e4e2823efcc52b127d9148fe93fcd47140d27feec695365eccd;Bigelow Store;816-455-8733;Southern;Domestic
a6111f332c8ca7f1c8ef45bb70c0adeed3d2435d7598018cbce6ac91feb137a6;SAIC Supermarket;816-455-8733;Southern;Domestic
bd2c5a393ff7ea91fd240cc603a595bd91d74469bb199d32293e349b9a4d3516;zNET Shop;816-455-8733;Central;Domestic
1bc44954208b1fee198a0ff465c17e1ceb750808214796fb111c44ffad8c822f;ABSolute Shop;816-455-8733;International;International
ae7d689871544bd2a09c99e87fce0b2b8862c9134c82950cdc6fc7ef7c4c2a3b;Science Store;816-455-8733;International;International
9ae6a89f4c008c36050d6153a93f8f76caee70ca55c0ef9b72b95fe11fea3aef;Filene? Shop;816-455-8733;International;International
a0282b948e7cbfdf33eb2df741a2102b74c5da5f59698c899424280ad583af76;Unison Medistore;816-455-8733;Central;Domestic
0562e37929bc660021c0c918f5918ff6c9b9ba84fb2f3874d0d6623a5d7685cb;Renaissance Supermarket;816-455-8733;Canada;International
5593677666d1c0a2430fc90dacd5e2f8223b62b08691a5df37a1e54489d7d052;Fenwick Supermarket;816-455-8733;International;International
6b6af6395b66b92e4da0335901fe3802ae600dec5b756be5a92e0e0a302575dd;Capitola Market;816-455-8733;Central;Domestic
fbecba9ae9cdc981399a21331a2e38fb80c9215260ddf3869a3c66295aaffed0;Hennings;816-455-8733;Central;Domestic
36b3427b2a8bdf15ac71f2ee30b3b1d7d46a5c06f6e6e8562316f0112fb4be8a;WBM Store;816-455-8733;Southern;Domestic
efa7433c098d7686f1ce09c71484b6c371242f0271b8ecdf4be1e1e34c45d18e;Biz-comm Shop;816-455-8733;International;International
a6042ef8cf35af302c710b85138c8a4dca772456c8a6ddd556880f5b5a9d4751;Teamsolve Shop;816-455-8733;International;International
afa4d6deb59c5af0f4f3857e4248e445c6335874f743fc3043b3c2f17c8fffdd;Accton Shop;816-455-8733;International;International
487bb39d34cd0dd60f7a67dd696bbe3593122402d23a6bd9e9ff441fce0bd315;Texasgulf Market;816-455-8733;Southern;Domestic
f4c25cd9a2e137e54683cca8f5975a1a0e1fd2b614e7209638b47eb5bb684f44;Watcom Maxistore;816-455-8733;Southern;Domestic
bd9c849090dd2691ed84a56bed9513503756b37ea7d380b4a31ac53877bebe68;OutPost Market;816-455-8733;Western;Domestic
e6c2f6f4c3582634a6d3acf3cda044c60cc40f2ff156dd965069d90761ddf513;Paracel Gigaplace;816-455-8733;Central;Domestic
fc29b774da008fe50060858599d07cea44f07fb9d6eb3c24deae57072da71f5e;KAT Store;816-455-8733;International;International
9ec7e1a5a25e8dfcb7559997716f708faf74144ffe21f7bd28cd8d29640f8c24;Transylvania Supermarket;816-455-8733;International;International
82f9ad8933c09d57e7575f82b7f5468d8936e3913a185a8779f7562c8b64b53a;Outsource Store;816-455-8733;International;International
105aee106d2f5bb0b49c5d5b390d175f4ae512672bb694e3f0e57ed70dacd28c;ACME Maxiplace;816-455-8733;International;International
264824d1b4da8cc9c6176484cf0e093782d33223de7b84e81f1e58a87dcaa996;Keystar Superstore;816-455-8733;Central;Domestic
f3d16ed4766d4b28bbf85de6cacc523e43542380caf1d98c904dabfc21df138c;Pacific Supermarket;816-455-8733;Southern;Domestic
4a897f3359c9a5f9c46e67395ddccb8a9bb71981ba02e042a55ae329796410d0;A-2-Z Supermarket;816-455-8733;Canada;International
d87def6725a44a509b6365f3fbf6b71b959e4f5108c8a04ae03579345b3cfc3b;Quantum Shop;816-455-8733;International;International
b4c24d023e562bf97fff40347520645e21202c9100d908586d397a44b7cb53bd;Tailwind Shop;816-455-8733;Central;Domestic
