PK_CLIENTES;PK_LOCALIDADE;PK_TEMPO;QUANTIDADE;VALOR_TOTAL;VALOR_DE_VENDA
9e73969da3ca3ad9fbd5d643ddceea78c932e29cf626bf30d153fc75b2cff1f2;0e401d1755714faf774d38c42ae2a7c5c84553ba06e6628003bab6f7a9bd858f;bbab885562ef5e705cc08199ba51e5f648a47b34b368974ebc5b4de93555b104;13;8962.68;2173.4768666700006
7da15a56749f172dda03f8d9a7769f7fb4d87319eb2fd84477fd5dd191ff3e04;2edc811234af618401959fb77e00e166eabc9a7751023a6b87a5e77361212e47;bd6a8f350293d11264a7feb457746f287f7a402280820439bda7683b1ce3d003;2;21600.39;432.0078
8cb5897edf0e1d08e4d987d7ca63493193046ec1b2c6644dcb4104d316b9b93e;393d317c16b3ae8b34d162461440e38223d0bb0d96429b4b5fff5e84d2872a46;4737165af4a39e4235a1fe5e9ac4aaec2d2944ca07a4cc0913780c3ebbd8f94f;1;340.0;340.0
f87baca14aada81300731c28699d136c5f910e82d04b3af52c4d2a57f886d325;f828258d9c5e36888ee50632a9fbc49e5536316fd62ee79665ba0afdff2cb0ce;446db3ca6d1c23056cb8b41947f143733e6ccff678a73749bfdab88c9c146c2f;4;3820.8;2225.955
beb71566a6fe2109452becd0013e4ba9167e2bf89c14867d26156cdf1eb167eb;fbfc2229f009c1acae6926529dceddbff27a5af0e38587287061b6fb3a843df1;65283ec645a6036067a73ad28d8e5354abe87a490bd457359f3b36d28f0af468;1;454.35;90.87
445cab963fb1cdd1acee325f7c12d45300f52212d318895816660346aaeaa4f0;c135ed7691c62c5466cc6b39772d1ac4ef902d3ce489a3104a6578966031dca3;6f21a78444bcdfc17a8be4afe5dd65da0fb9d7c01e2bb9a47873587002dac298;3;1949.35;1949.35
f279298db5588991d02f3112933abc22e91ddcd81bf074274099d6ca873d4d16;5ee026d93264013b3ae86974da9be265f81ba51294ff9230fbee746452896e61;528fd0520b4e9e845c8a96de9b75d876bc1794a869be7dbb0c9ce432421e07c8;2;675.0;675.0
f279298db5588991d02f3112933abc22e91ddcd81bf074274099d6ca873d4d16;5ee026d93264013b3ae86974da9be265f81ba51294ff9230fbee746452896e61;886a66b117f40d51c67c70eae55741132b31c8512fc5e99acc73adaca929fee3;10;15265.75;2236.63
1d45f81530e80bb3c792fc05dcf9c67c90788b750e52c973a128919705472c95;ef8b1188c5d703192cb9f48e1e51e9088df4325e4b24e21d592db378b9f125f1;ec4856754403d162e8444df8a77e2f526d03b79a1b9d4772d6c4639e4394bbf0;1;485.02;485.02
e1173a1b5243d2b28ca6ab41f549c9a00b0af18240a3f1dbdde3344bb7bd12d8;b1e9de0fcd2766177f0688c9f2ec192832974b8dc3f5ec2abf84c63914de41b7;5c8eba335453780bb1582f2a01731e4efa47ea7c29d35f4df437e0129ada22ec;1;460.5;230.25
962ac47b6e09a8b8dde9e9b1234bade0132acd79d1d77d68582c925e6e280738;7401077f138a9a4f88916e1fc065e209c5ef16a4271658a24cd6d4f31b20314d;4aba5a8b571375394c9a18794d67c718ed25b6f9b1394ed5894ca92de764c702;2;7597.88;247.5573077
ce8a1086a83a1fd7a7a0c0f4f7e9ad17f22d365985a019b5bc17c0334838a491;c681656b820dc06bedfbacc43dcb669ea05fc9209300f007ef1da53adf52c35b;6ec602e80e73c7ee9aba6a2e895f86a7d5c90531f4299cdba47b6faf27ddd9de;1;526.87;526.87
91964aacef10be6a27347deb5431d81700256150d2fdb0060475ef378bd95186;9ff8d58da9abcd93f5b5b8d0778435f65ee9d4e3c3a873926b95a9a7f9bfcf81;1940a4c5e88c682dd9549741a0be455eaaa571cf7d93220cba48d82624d74414;3;1330.8500000000001;1036.4
cd95b45246442a3b0d62b37205e1b2a9eb5d44f6b2931f445d6dd44e5d519c59;c681656b820dc06bedfbacc43dcb669ea05fc9209300f007ef1da53adf52c35b;974c35002736b2a06c8ff239b58dacc9e07a691619a5182a33ab4cdb04daaa81;1;227.04;227.04
89a2f81e482f6d0046dd66fc3d754f8d0f9d339d9a2fbfb2c0193fecc1e4bea1;e12bd7bda0a8bff312042a342531eaa234a9c07cd30f45e854cc6f1fdd2ce23f;2b85ef194d08503e0fe061bc551d3db1bffd35806e4e6635ee2798e2c5b40f40;1;207.29;34.54833333
ca353ed2b94c6e4905482b87bb576b3ba3d2068664ec8dca9bf8462eb32b484f;d6d11ee0f707b42e6097432130694cd06f8367017adf6bea1f982cfb08daa31f;cd4bbe501dfba2a3b2bc97ce4c3f0b5e8df01ad93beea11bef7cf16f9e551905;3;1941.36;244.66833330000003
60bdb59ecdb4e57d6e912c85d020ba339267b539ef39eefd91aa9d48d401924d;3aca56d28f1c1b9b731db17f1f83971ffb01bf785a8e49c82af4a9dc0870a0df;4801dfcb9aac5996b584279ad6133e89f757450b0ba22fbceb067c370d7b55ad;1;1006.47;1006.47
23e1e6cc0500cff5f67b702f22780bea25730d84417fd27f7065ddffb79b41b3;2aef20c6ddf06f03c91159d54bf933c3d4bef46fd0871fcbb315f542239348f6;15f470c28d1fda1ff2eb71be38299aec8df65dc9a07e9f4124fbb0b519d721ad;6;3261.99;2182.7233333
992679e9219462548aaceb0f03ac1e00dde067ef61af0bc0ee959a20cd5f6b81;3967e00e6a4417d7efbfbf89f51a3272da2e2de72415e9f7326cffcea2d195f0;006516410ebd98e9f50604b4ca5cd4cda166092f8f727d07fc6ed7b9a36b2270;1;359.67;12.40241379
da2ff87677c1370dad858fa2abb91c98c152a5050dd1b8fe4f98707b8e625587;3d92147eeaa8c423ff1388775842fd7158b48992a738d113d32dc5a0bd97d950;28ba5075dce23c3066ba85179984638ef6af1097e4d8820371905d189acfe134;13;7238.639999999999;2720.7150477
